,coef,lower,upper
created_utc_hour_12,0.03017597088076726,-0.012737346853415259,0.07308928861494979
race_all_1,0.03343673220776555,-0.01583378632983179,0.08270725074536289
created_utc_hour_23,0.033705735632714874,-0.009332228144724064,0.07674369941015381
created_utc_hour_19,0.03435541953907602,-0.007845691617147453,0.0765565306952995
created_utc_weekday_3,0.03443293253056555,0.010740713797826738,0.058125151263304364
Bruising And Swelling,0.04065329234126102,-0.03867573623798789,0.11998232092050992
created_utc_hour_22,0.0459668905897137,0.0034175886469338806,0.08851619253249352
Testicular Health,0.05287011973054847,-0.028525405523058538,0.13426564498415547
age_all_1,0.05290326662487426,0.028053175635354734,0.07775335761439378
created_utc_weekday_4,0.057122425672711336,0.03309017168039422,0.08115467966502846
created_utc_hour_11,0.05924128627076051,0.01570504809890781,0.1027775244426132
Respiratory Distress (Breathing),0.05954752335729184,-0.011427282315296203,0.13052232902987987
created_utc_hour_5,0.06136805238829436,0.008227858489423395,0.11450824628716533
created_utc_hour_20,0.06777527421495057,0.02541196481008206,0.11013858361981907
created_utc_hour_21,0.07792540382929315,0.03546182938077475,0.12038897827781156
Bone Fractures And Sprains,0.08877131121562123,-0.014770874490674352,0.19231349692191682
Throat-Related,0.0964441153805807,0.023598398123924155,0.16928983263723724
Gastrointestinal Distress,0.10488202196255307,0.034344165817824915,0.1754198781072812
Vision,0.1049674225559,0.02949887469759957,0.18043597041420043
age_all_4,0.11270519396739304,0.06324826658178719,0.1621621213529989
created_utc_hour_10,0.13248611561887289,0.08756440023086465,0.17740783100688112
created_utc_hour_6,0.1376703139446893,0.08426427426619082,0.19107635362318776
Digestive Distress,0.1454658987711166,0.07218599490579236,0.21874580263644083
age_all_0,0.15067309417301164,0.10792629936179707,0.1934198889842262
Oral Hygiene,0.15499870463516463,0.0711910369840434,0.23880637228628587
created_utc_weekday_6,0.1670957170332844,0.1429086067691042,0.19128282729746462
created_utc_hour_9,0.1732053177232794,0.12639398736075297,0.22001664808580584
Hormones,0.17554703558501655,0.08149619592345872,0.2695978752465744
created_utc_hour_8,0.18146336082572923,0.13231484307141206,0.2306118785800464
created_utc_weekday_5,0.19682835240283433,0.17227364669632694,0.22138305810934172
created_utc_hour_7,0.2026227297550524,0.1509866718537104,0.2542587876563944
Respiratory Distress (Treatment),0.21484484445853877,0.11707770169645544,0.3126119872206221
Breast Health,0.21941694249335347,0.14479581260475033,0.2940380723819566
Diagnostics (Neurology),0.22672726998850073,0.1566304319359591,0.29682410804104237
Temperature Regulation,0.24674433562912046,0.12521849132221918,0.36827017993602174
Gastrointenstinal,0.2644586262907544,0.18808836055852535,0.34082889202298344
Allergies,0.26473190569317595,0.1469520918299145,0.38251171955643737
Cold And Flu,0.28470110221875294,0.20890618226701965,0.36049602217048626
Diagnostic Testing (Results),0.28530012781221475,0.16628266468605363,0.4043175909383759
Urology (Urination),0.28978565467901446,0.20798436758768613,0.3715869417703428
Nutrition,0.29040523404617524,0.22557649457235862,0.35523397351999186
Descriptive Language (Personal History),0.3089986867390189,0.10433399137666799,0.5136633821013699
Dermatology (Face),0.31523073964910603,0.2028666974960282,0.42759478180218385
Reproductive Health (Male),0.32564947354803475,0.23628303762864233,0.41501590946742717
Urology,0.32638651622969156,0.24519568048657148,0.40757735197281164
Bowel Movements,0.33975886370736597,0.23252521943026183,0.4469925079844701
Smell And Odors,0.3624267379543888,0.23824649927937736,0.4866069766294002
Sleep,0.38625269103895543,0.30250555796306283,0.46999982411484803
Descriptive Language (Generic),0.3868400008814174,0.26853657786251456,0.5051434239003203
Cognitive Distress,0.4344948798786833,0.363224203553394,0.5057655562039726
Reproductive Health (Female),0.4365850254882457,0.36519490719367376,0.5079751437828176
Gastroenterology,0.4377379751410065,0.3073770124879144,0.5680989377940986
Medication (Antibiotics),0.45827284369800325,0.37818464261179363,0.5383610447842129
Chronic Pain (Medication And Side Effects),0.4844812767530217,0.39940738909880225,0.5695551644072412
Hemorrhoids And Rectal Bleeding,0.48751047499084177,0.40069013006022136,0.5743308199214622
Respiratory Distress (Inhaled Substances),0.5371629724718552,0.4232259954108055,0.6510999495329048
Dermatology (Bites),0.5509901032917669,0.474647436374956,0.6273327702085778
Surgery,0.5586053182739104,0.473954290558567,0.6432563459892537
Gynecology,0.565234749151471,0.4760645884842274,0.6544049098187146
Cardiology,0.5667159743813286,0.49808535997627273,0.6353465887863844
Spine Health,0.5688546250671744,0.422709316177112,0.7149999339572368
Vitamins And Supplements,0.6139813692510354,0.4716545909331295,0.7563081475689413
Mental Health (Psychiatry),0.6238215719162128,0.5484850024290038,0.6991581414034218
Dermatology (Infection),0.631864669193272,0.5480164576999541,0.7157128806865899
Diagnostic Tests,0.6395322622561773,0.5613882583502424,0.7176762661621122
Sexually Transmitted Diseases,0.6559809997025322,0.5868058998638642,0.7251560995412002
Diagnostic Radiology,0.6588568139266254,0.5526124966539752,0.7651011311992757
Mental Health (Adolescent),0.701499427876232,0.6275493176486027,0.7754495381038613
Nails-Related,0.7077409924441979,0.6286478901778795,0.7868340947105162
Nutrition (Weight Loss),0.7391903308803487,0.6512732205947889,0.8271074411659085
Hair,0.7498253687861569,0.645624374108665,0.8540263634636488
Dermatology (Lesions),0.7747701154196097,0.7004355248939458,0.8491047059452737
Puberty,0.7752568091947021,0.6625574525151058,0.8879561658742984
Dermatology (Allergies),0.8117094294577144,0.7442465127562637,0.8791723461591651
Respiratory Distress (Smoking),0.8310846726463288,0.6878394808220211,0.9743298644706365
Sexually Transmitted Diseases (Female),0.8416413849970246,0.6638285717347174,1.0194541982593317
Infection (Wounds),0.8969926184957939,0.8162009957622819,0.977784241229306
Substance Abuse (Alcohol And Caffeine),0.919565138189418,0.8224357580970163,1.0166945182818197
Pediatrics,0.9623202152333036,0.8008715177932685,1.1237689126733386
Descriptive Language (Information Seeking And Logistics),0.9829763527505695,0.9053997851474395,1.0605529203536996
Coronavirus (Prevention),0.9853414065435168,0.890725630419926,1.0799571826671075
Descriptive Language (Support And Hospitalization),1.0532267243711684,0.9574784275441859,1.1489750211981509
Hygiene,1.0646783848222414,0.9615705205027631,1.1677862491417197
Infection (Bites And Disease Control),1.3147671791190778,1.1881720667301223,1.4413622915080333
