,coef,lower,upper
race_all_3,0.004616453100722476,-0.04246506750119707,0.05169797370264203
age_all_3,0.009668627302135935,-0.030801359001787945,0.05013861360605981
Cognitive Distress,0.009848551287285375,-0.07597876288345246,0.0956758654580232
created_utc_weekday_1,0.011029161446932114,-0.017095654491309023,0.03915397738517325
created_utc_hour_4,0.012933141115174813,-0.05002958882956464,0.07589587105991426
is_automod_format_1,0.01944425976763843,0.0008889772292218941,0.03799954230605497
created_utc_weekday_2,0.02390465653654391,-0.004174961000107582,0.051984274073195405
created_utc_weekday_3,0.04294935169381746,0.014653151732306809,0.07124555165532812
Cold And Flu,0.052770622698050794,-0.03793763559379646,0.14347888098989806
created_utc_hour_23,0.056183624537865594,0.004742364283563512,0.10762488479216767
race_all_1,0.05998899637746294,0.0044171043571359925,0.11556088839778988
created_utc_hour_22,0.06580740998717997,0.015043105896793009,0.11657171407756695
Dermatology,0.07263234704622419,-0.037367871329809274,0.18263256542225764
race_all_5,0.07776793764975631,-0.017384329808509125,0.17292020510802175
Nose Health,0.09034408264810807,-0.15998940403121586,0.340677569327432
created_utc_hour_21,0.09177295096466645,0.041297536811872225,0.14224836511746067
created_utc_hour_5,0.0972901463856156,0.0341933103169913,0.1603869824542399
created_utc_weekday_4,0.10099662600843762,0.072559954663245,0.12943329735363024
created_utc_hour_17,0.10408177565538618,0.05410313840731438,0.15406041290345798
created_utc_hour_18,0.1041122748592838,0.05389409330162702,0.1543304564169406
created_utc_hour_19,0.11947210907651193,0.06928727355192077,0.1696569446011031
Respiratory Distress (Treatment),0.12209018232032305,0.006142189100806869,0.23803817553983925
created_utc_hour_15,0.1288816242489725,0.07879198367621487,0.17897126482173015
created_utc_hour_7,0.130709598616023,0.07047851081029748,0.1909406864217485
Respiratory Distress (Inhaled Substances),0.1337936427943947,0.0025011610027873,0.2650861245860021
created_utc_hour_14,0.13426936542284404,0.08393274907578707,0.184605981769901
created_utc_hour_6,0.13592492876031606,0.07350422077899696,0.19834563674163516
created_utc_hour_9,0.14504036122735506,0.09016006878124772,0.1999206536734624
Breast Health,0.15079253737217754,0.06196015692993469,0.2396249178144204
race_all_6,0.15331607294385705,-0.021313235657012236,0.3279453815447263
created_utc_hour_16,0.15355016977114436,0.10372755067140761,0.20337278887088112
Mental Health (Adolescent),0.15458922877794934,0.06842160860233876,0.24075684895355992
created_utc_hour_20,0.1556738079903594,0.10565737448176507,0.20569024149895374
created_utc_hour_11,0.15601050446110595,0.10451963737612863,0.20750137154608328
age_all_4,0.1590582275112397,0.107256139648684,0.21086031537379543
age_all_0,0.16154352544570724,0.11525250613723381,0.20783454475418067
Hormones,0.16476842924557544,0.05323772950579768,0.2762991289853532
created_utc_hour_13,0.17521152375092558,0.12497035728016605,0.22545269022168513
created_utc_hour_8,0.1766171811385019,0.1195136754575041,0.23372068681949967
created_utc_weekday_6,0.17709888880947947,0.14891112780661778,0.20528664981234115
created_utc_hour_10,0.17903508654823266,0.12634545994374802,0.2317247131527173
created_utc_hour_12,0.18181967871846322,0.13115053082163647,0.23248882661528997
Vision,0.18584769370406978,0.09583825088809746,0.2758571365200421
Cardiology,0.1960950676934772,0.1152321935394825,0.2769579418474719
Nutrition (Weight Loss),0.2035155405581343,0.10507589758659718,0.30195518352967143
created_utc_weekday_5,0.21690686180685265,0.18852337548139983,0.24529034813230546
Gynecology,0.22029151827771998,0.11810806759706971,0.32247496895837024
Diagnostics (Neurology),0.24697804414112356,0.16340108173804635,0.3305550065442008
Diagnostic Testing (Results),0.2592920482992657,0.12223583029915117,0.39634826629938025
Chronic Pain (Medication And Side Effects),0.28715750697661885,0.19057523382802516,0.38373978012521254
Allergies,0.2915144916778482,0.15696781652217257,0.42606116683352385
Puberty,0.3037035871474353,0.18358297932685697,0.4238241949680136
Mental Health (Psychiatry),0.34934530510205825,0.2633760397275296,0.4353145704765869
Respiratory Distress (Smoking),0.35247786026559497,0.20393480645783638,0.5010209140733536
Muscular (Hands),0.3755129631592135,0.24578547447844423,0.5052404518399828
Descriptive Language (Generic),0.40409560423489504,0.2746653379524011,0.533525870517389
Substance Abuse (Alcohol And Caffeine),0.4169726765365573,0.3152526010674276,0.518692752005687
Medication (Antibiotics),0.4381925316334315,0.34766209272218795,0.5287229705446751
Diagnostic Tests,0.45664499238610595,0.36869643495069865,0.5445935498215133
Vitamins And Supplements,0.4587980640095243,0.3101700347262881,0.6074260932927604
Descriptive Language (Personal History),0.4745664513438849,0.25328034363524576,0.6958525590525241
Hygiene,0.47904946173739643,0.37498049609885337,0.5831184273759396
Bone Fractures And Sprains,0.4928692113220083,0.376115038585542,0.6096233840584746
Dermatology (Face),0.5108908762972969,0.3879327404635152,0.6338490121310786
Sexually Transmitted Diseases,0.5220434762359125,0.4430486911336518,0.6010382613381733
Gastroenterology,0.5711546462417748,0.43142133276305683,0.7108879597204928
Surgery,0.6061038970989091,0.5130581355564321,0.6991496586413861
Infection (Wounds),0.6190066844284853,0.5324785032354094,0.7055348656215612
Dermatology (Infection),0.648232587520478,0.5567206252164036,0.7397445498245523
Infection (Bites And Disease Control),0.6904641821028801,0.5750448899808956,0.8058834742248645
Pediatrics,0.6911141316830582,0.5404672450434564,0.84176101832266
created_utc_year_2020,0.7357055456979168,0.7047177919476992,0.7666932994481344
created_utc_year_2018,0.7804597196110856,0.748455199809619,0.8124642394125522
created_utc_year_2019,0.7817170009508249,0.7498360102561072,0.8135979916455425
Nails-Related,0.7938798201590862,0.7080002076194813,0.8797594326986911
Dermatology (Bites),0.8135834459113114,0.7292137725856399,0.8979531192369828
Descriptive Language (Information Seeking And Logistics),0.8233288552041708,0.7408555187740526,0.9058021916342889
Coronavirus (Prevention),0.8375416044074789,0.7426135879159516,0.9324696208990063
Diagnostic Radiology,0.8665104425802324,0.7576354686028441,0.9753854165576206
Sexually Transmitted Diseases (Female),0.879550918293681,0.7136804834499177,1.0454213531374443
Hair,0.8920086822393514,0.7860754590093321,0.9979419054693707
Descriptive Language (Support And Hospitalization),0.8923878183072763,0.7976510997885284,0.9871245368260242
Spine Health,1.017723428214358,0.8707993351054399,1.1646475213232759
Dermatology (Lesions),1.128137224173287,1.0475385235697816,1.2087359247767924
Dermatology (Allergies),1.28590025385788,1.2104437800752417,1.3613567276405185
